Model,Scenario,Region,Variable,Unit,1990,1995,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2020,2021,2022,2023,2024,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,R5ASIA,Final Energy|Industry|Liquids,EJ/yr,,,,,,,,,,,,,11.60869528,,,,,13.04176335,16.56012336,,,,,,13.03663243,,9.59310919,,6.062425077,,3.178522854,,3.130090212,,5.042268682,,4.741140608,,4.627352531
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,R5ASIA,Final Energy|Industry|Liquids|Oil,EJ/yr,,,,,,,,,,,,,11.58193806,,,,,13.03791345,16.36274291,,,,,,11.03838334,,7.533623034,,5.131935914,,2.616355168,,1.065325093,,0.375699192,,0,,0
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,R5ASIA,Final Energy|Industry|Other,EJ/yr,,,,,,,,,,,,,0.123595448,,,,,0.5871297,1.281595742,,,,,,4.933423077,,5.744316445,,5.930313724,,5.728653946,,5.381365259,,5.035939364,,4.884854206,,4.711040181
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,R5ASIA,Final Energy|Industry|Solids,EJ/yr,,,,,,,,,,,,,31.32329822,,,,,33.06581639,33.45453866,,,,,,22.20832626,,12.04033529,,5.673960363,,1.0140699,,0.02636268,,0,,0,,0.024956671
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,R5ASIA,Final Energy|Industry|Solids|Biomass,EJ/yr,,,,,,,,,,,,,2.213701565,,,,,2.356364649,1.799558201,,,,,,6.941037465,,6.511285465,,4.280749942,,1.0140699,,0.02636268,,0,,0,,0.024956671
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,R5ASIA,Final Energy|Industry|Solids|Coal,EJ/yr,,,,,,,,,,,,,29.10959665,,,,,30.70945175,31.65498046,,,,,,15.2672888,,5.529049826,,1.393210421,,0,,0,,0,,0,,0
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,R5ASIA,Final Energy|Liquids,EJ/yr,,,,,,,,,,,,,33.48774509,,,,,41.46871514,47.56518377,,,,,,28.17367023,,15.8368456,,7.292351475,,4.094799736,,4.018375934,,5.909498461,,5.594843806,,5.469688092
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,R5ASIA,Final Energy|Residential and Commercial,EJ/yr,,,,,,,,,,,,,42.3021332,,,,,46.59528508,50.23225186,,,,,,29.69940945,,30.57413871,,27.98339443,,27.01234043,,25.8581182,,25.16450654,,24.58088791,,24.05936613
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,R5ASIA,Final Energy|Residential and Commercial|Electricity,EJ/yr,,,,,,,,,,,,,7.777945827,,,,,10.76761601,12.89445194,,,,,,19.45671431,,23.74723898,,22.083393,,20.75168859,,19.78853952,,19.11978598,,18.62915713,,18.1441836
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,R5ASIA,Final Energy|Residential and Commercial|Gases,EJ/yr,,,,,,,,,,,,,2.033422992,,,,,2.880137041,5.798355157,,,,,,4.230108511,,1.158140097,,0.102768036,,0.215920259,,0.20898164,,0,,0,,0.019084675
